"No.","Time","Source","Destination","Protocol","Length","Info"
299,1.530140272,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.232? Tell 10.100.5.170
300,1.536725153,HewlettP_81:a9:af,Broadcast,ARP,60,Who has 10.100.5.50? Tell 10.100.5.177
301,1.536729085,HewlettP_81:a9:af,Broadcast,ARP,60,Who has 10.100.5.48? Tell 10.100.5.177
302,1.537776979,67.212.162.201,10.100.5.142,TCP,60,"445  >  61476 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
303,1.540669344,10.100.5.246,10.100.5.240,SNMP,91,get-request 1.3.6.1.4.1.236.11.5.11.53.31.1.116.0
304,1.541595494,10.100.5.240,10.100.5.246,SNMP,99,get-response 1.3.6.1.4.1.236.11.5.11.53.31.1.116.0
305,1.552866868,HewlettP_7c:f9:c3,Broadcast,ARP,60,Who has 10.100.5.197? Tell 10.100.5.165
306,1.555270183,HewlettP_7c:f9:c3,Broadcast,ARP,60,Who has 10.100.5.198? Tell 10.100.5.165
307,1.557158968,10.100.5.1,224.0.0.2,HSRP,62,Hello (state Active)
308,1.557472003,198.16.74.44,10.100.5.142,TLSv1.2,122,Application Data
309,1.559020709,178.170.65.57,10.100.5.148,SMB,93,"Tree Connect AndX Response, Error: Bad userid"
310,1.559325502,74.125.24.100,10.100.5.157,UDP,140,443  >  49867 Len=98
311,1.560003221,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.230? Tell 10.100.5.170
312,1.560007073,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.231? Tell 10.100.5.170
313,1.560008685,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.233? Tell 10.100.5.170
314,1.560010172,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.225? Tell 10.100.5.170
315,1.560011687,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.226? Tell 10.100.5.170
316,1.560013158,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.227? Tell 10.100.5.170
317,1.560014637,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.229? Tell 10.100.5.170
318,1.573867282,74.125.24.100,10.100.5.157,UDP,1392,443  >  49867 Len=1350
319,1.574173401,74.125.24.100,10.100.5.157,UDP,1392,443  >  49867 Len=1350
320,1.574175918,74.125.24.100,10.100.5.157,UDP,1392,443  >  49867 Len=1350
321,1.574177075,74.125.24.100,10.100.5.157,UDP,158,443  >  49867 Len=116
322,1.574177721,74.125.24.100,10.100.5.157,UDP,62,443  >  49867 Len=20
323,1.575501314,41.76.107.45,10.100.5.143,TCP,60,445  >  52183 [ACK] Seq=1 Ack=1 Win=64240 Len=0
324,1.575815144,41.76.107.45,10.100.5.143,TCP,60,"445  >  52183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
325,1.576331561,41.76.107.45,10.100.5.143,TCP,62,"445  >  52214 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
326,1.582174484,10.100.5.249,230.0.0.1,UDP,92,57113  >  6666 Len=50
327,1.582176553,10.100.5.249,230.0.0.1,UDP,92,63442  >  6666 Len=50
328,1.593656673,10.100.5.202,10.100.5.250,SNMP,120,get-request 1.3.6.1.2.1.25.3.2.1.5.1 1.3.6.1.2.1.25.3.5.1.1.1 1.3.6.1.2.1.25.3.5.1.2.1
329,1.606966411,fe80::4558:868:1800:d88,ff02::1:3,LLMNR,99,Standard query 0x9a9f A donate-v2-xxxxx-com
330,1.60697279,10.100.5.148,224.0.0.252,LLMNR,79,Standard query 0x9a9f A donate-v2-xxxxx-com
331,1.627773411,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.67? Tell 10.100.5.169
332,1.630041566,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.228? Tell 10.100.5.170
333,1.630045861,HewlettP_85:c9:bc,HewlettP_87:cb:ca,ARP,60,10.100.5.61 is at a0:48:1c:85:c9:bc
334,1.659994055,HewlettP_7c:f9:c0,Broadcast,ARP,60,Who has 10.100.5.234? Tell 10.100.5.170
335,1.666677784,HewlettP_90:89:c0,Broadcast,ARP,60,Who has 10.100.5.4? Tell 169.254.18.216
336,1.667994758,10.100.5.250,230.0.0.1,UDP,92,55865  >  6666 Len=50
337,1.679925697,fe80::806b:9a4b:155d:d873,ff02::1:3,LLMNR,99,Standard query 0x7260 A donate-v2-xxxxx-com
338,1.682244836,10.100.5.150,224.0.0.252,LLMNR,79,Standard query 0x7260 A donate-v2-xxxxx-com
339,1.692811996,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.118? Tell 10.100.5.64
340,1.6928167,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.123? Tell 10.100.5.64
341,1.69281834,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.124? Tell 10.100.5.64
342,1.692819868,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.128? Tell 10.100.5.64
343,1.692821441,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.145? Tell 10.100.5.64
344,1.692822979,HewlettP_85:15:51,Broadcast,ARP,60,Who has 10.100.5.147? Tell 10.100.5.64
345,1.71097522,43.245.194.144,10.100.5.159,TCP,66,80  >  58013 [ACK] Seq=1 Ack=1 Win=237 Len=0 SLE=0 SRE=1
346,1.720097164,10.100.5.249,230.0.0.1,UDP,541,54075  >  6666 Len=499
347,1.74370434,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.48? Tell 10.100.5.169
348,1.743708797,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.42? Tell 10.100.5.169
349,1.743710349,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.43? Tell 10.100.5.169
350,1.743711887,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.50? Tell 10.100.5.169
351,1.743713488,HewlettP_87:cb:9f,Broadcast,ARP,60,Who has 10.100.5.60? Tell 10.100.5.169
352,1.745872654,Cisco_b5:d8:00,HewlettP_87:c4:70,ARP,60,Who has 10.100.5.153? Tell 10.100.5.1
353,1.746182337,Cisco_b5:d8:00,HewlettP_85:ca:a6,ARP,60,Who has 10.100.5.158? Tell 10.100.5.1
354,1.746478214,Cisco_b5:d8:00,HewlettP_81:a3:8c,ARP,60,Who has 10.100.5.152? Tell 10.100.5.1
355,1.747625887,Cisco_b5:d8:00,HewlettP_81:a9:b3,ARP,60,Who has 10.100.5.173? Tell 10.100.5.1
356,1.747923967,Cisco_b5:d8:00,HewlettP_7e:30:5c,ARP,60,Who has 10.100.5.247? Tell 10.100.5.1
